airline,hour,num_flights,p25,p50,p75,p90
AA,0,1051,-7.0,-4.0,1.0,21.0
AA,1,51,-9.0,-6.0,1.0,11.0
AA,5,11819,-8.0,-5.0,-2.0,10.0
AA,6,21371,-7.0,-5.0,-1.0,11.0
AA,7,23770,-7.0,-4.0,-1.0,16.0
AA,8,22848,-6.0,-3.0,1.0,25.0
AA,9,15447,-6.0,-3.0,3.0,29.0
AA,10,16532,-5.0,-2.0,7.0,37.0
AA,11,18754,-5.0,-2.0,8.0,40.0
AA,12,16212,-5.0,-1.0,12.0,50.0
AA,13,16441,-5.0,-2.0,11.0,49.0
AA,14,17088,-5.0,-1.0,13.0,53.0
AA,15,15110,-5.0,-1.0,17.0,59.0
AA,16,16943,-5.0,-1.0,15.0,57.0
AA,17,18045,-5.0,-1.0,18.0,62.0
AA,18,18512,-5.0,0.0,19.0,62.0
AA,19,16438,-5.0,0.0,23.0,70.0
AA,20,13634,-4.0,0.0,19.0,56.0
AA,21,9989,-5.0,0.0,18.0,57.0
AA,22,10301,-5.0,-2.0,13.0,46.0
AA,23,3245,-6.0,-2.0,7.0,32.0
DL,0,449,-10.0,-6.0,0.0,22.0
DL,1,237,-10.0,-7.0,-1.0,25.0
DL,3,6,-4.0,-3.0,-2.0,-1.0
DL,5,8023,-8.0,-5.0,-1.0,8.0
DL,6,21625,-8.0,-5.0,-1.0,9.0
DL,7,27360,-7.0,-4.0,0.0,13.0
DL,8,20754,-6.0,-4.0,0.0,19.0
DL,9,15307,-6.0,-3.0,3.0,25.0
DL,10,17778,-7.0,-3.0,4.0,30.0
DL,11,22881,-6.0,-3.0,6.0,35.0
DL,12,19746,-6.0,-3.0,7.0,38.0
DL,13,17215,-6.0,-2.0,8.0,42.0
DL,14,16055,-6.0,-2.0,10.0,44.0
DL,15,20886,-5.0,-1.0,13.0,50.0
DL,16,14995,-6.0,-1.0,13.0,49.0
DL,17,20210,-7.0,-2.0,11.0,48.0
DL,18,17972,-6.0,-1.0,16.0,56.0
DL,19,16261,-6.0,-1.0,18.0,63.0
DL,20,11029,-6.0,-1.0,16.0,57.0
DL,21,10160,-6.0,-2.0,12.0,46.0
DL,22,10856,-6.0,-2.0,8.0,39.0
DL,23,3362,-7.0,-3.0,6.0,30.0
UA,0,627,-7.0,-3.0,3.0,24.0
UA,1,137,-7.0,-2.0,12.0,48.0
UA,2,70,-9.0,-7.0,3.0,23.0
UA,5,4104,-8.0,-6.0,-2.0,5.0
UA,6,14944,-8.0,-5.0,-2.0,7.0
UA,7,21845,-8.0,-5.0,-2.0,9.0
UA,8,20539,-7.0,-4.0,-1.0,14.0
UA,9,16440,-6.0,-3.0,3.0,24.0
UA,10,14580,-6.0,-3.0,3.0,27.0
UA,11,14449,-6.0,-3.0,5.0,31.0
UA,12,14629,-6.0,-3.0,4.0,30.0
UA,13,15603,-6.0,-3.0,6.0,35.0
UA,14,14644,-6.0,-3.0,7.0,47.0
UA,15,10738,-6.0,-2.0,9.0,47.0
UA,16,15738,-6.0,-2.0,9.0,50.0
UA,17,16347,-6.0,-2.0,10.0,48.0
UA,18,16284,-6.0,-2.0,11.0,53.0
UA,19,14282,-6.0,-1.0,14.0,54.0
UA,20,9965,-5.0,0.0,18.0,60.0
UA,21,5215,-7.0,-2.0,12.0,47.0
UA,22,3741,-7.0,-3.0,5.0,26.0
UA,23,4103,-8.0,-4.0,3.0,23.0
WN,5,14303,-5.0,-3.0,-1.0,4.0
WN,6,32445,-5.0,-3.0,-1.0,4.0
WN,7,26101,-5.0,-3.0,0.0,7.0
WN,8,30200,-5.0,-2.0,1.0,13.0
WN,9,26357,-5.0,-2.0,3.0,18.0
WN,10,26819,-4.0,-1.0,5.0,21.0
WN,11,27926,-4.0,-1.0,7.0,26.0
WN,12,25399,-4.0,0.0,9.0,30.0
WN,13,28181,-4.0,0.0,11.0,34.0
WN,14,26708,-4.0,0.0,13.0,38.0
WN,15,26677,-4.0,1.0,16.0,43.0
WN,16,26411,-4.0,1.0,16.0,45.0
WN,17,26623,-4.0,2.0,18.0,50.0
WN,18,28394,-4.0,1.0,18.0,49.0
WN,19,24488,-5.0,1.0,19.0,55.0
WN,20,23644,-5.0,1.0,20.0,53.0
WN,21,13255,-4.0,3.0,24.0,62.0
WN,22,5935,-4.0,4.0,27.0,64.0
WN,23,514,-4.0,-1.0,6.0,19.0
