airline,hour,num_flights,p25,p50,p75,p90
AA,0,1051,-6.7219,-3.6491,0.959,20.8769
AA,1,51,-8.6429,-5.6364,0.75,10.9333
AA,5,11819,-7.8586,-5.0752,-1.5742,10.6064
AA,6,21371,-7.3922,-4.6796,-1.3034,10.9862
AA,7,23770,-6.7942,-4.0887,-0.5291,15.9348
AA,8,22848,-6.0039,-3.343,0.841,25.4936
AA,9,15447,-5.5741,-2.7499,3.1286,29.3129
AA,10,16532,-5.2423,-2.1022,6.8189,37.6931
AA,11,18754,-5.1433,-1.983,7.8194,40.5383
AA,12,16212,-4.7953,-1.1404,12.4038,50.4869
AA,13,16441,-4.9998,-1.4934,11.2833,49.7395
AA,14,17088,-4.9227,-1.2293,13.4291,54.031
AA,15,15110,-5.0031,-0.9444,16.7578,59.9265
AA,16,16943,-4.8517,-0.9428,15.6004,57.4918
AA,17,18045,-5.1902,-0.8979,17.8532,62.4082
AA,18,18512,-4.5805,-0.2314,19.3984,62.7182
AA,19,16438,-5.2271,-0.1637,23.1317,70.4088
AA,20,13634,-4.4215,-0.0125,19.1619,56.263
AA,21,9989,-4.5344,-0.344,18.4281,57.7936
AA,22,10301,-5.3702,-1.4909,13.3042,46.2892
AA,23,3245,-6.1521,-2.168,6.7438,32.6993
DL,0,449,-10.2396,-5.881,0.7381,22.04
DL,1,237,-10.2679,-6.5161,-0.8214,24.875
DL,3,6,-4.0,-3.0,-2.0,-1.1
DL,5,8023,-8.4817,-5.2827,-1.2561,8.4047
DL,6,21625,-7.9827,-4.7355,-0.7722,8.9136
DL,7,27360,-6.8876,-3.8484,0.1062,13.7419
DL,8,20754,-6.5251,-3.7062,0.5602,19.2475
DL,9,15307,-6.2166,-3.1579,2.6169,25.6295
DL,10,17778,-6.6912,-3.2664,3.9461,30.3965
DL,11,22881,-6.1278,-2.4808,6.5931,35.1944
DL,12,19746,-6.3009,-2.4884,7.5392,38.0106
DL,13,17215,-6.3678,-2.4327,8.5301,42.6225
DL,14,16055,-5.8174,-1.809,10.3709,44.6936
DL,15,20886,-5.4597,-1.2661,12.8883,49.9671
DL,16,14995,-5.7155,-1.3164,13.4793,49.7493
DL,17,20210,-6.9411,-2.3727,11.0065,48.6632
DL,18,17972,-6.2419,-1.35,15.854,56.3833
DL,19,16261,-6.2457,-1.0798,17.976,63.3108
DL,20,11029,-5.7445,-1.2667,16.3058,56.9808
DL,21,10160,-5.6564,-1.6784,11.908,46.0349
DL,22,10856,-5.8619,-2.1751,8.0236,39.1298
DL,23,3362,-6.7224,-2.5843,5.8351,30.7173
UA,0,627,-7.2443,-3.4615,3.125,23.9333
UA,1,137,-7.325,-1.6,12.0833,47.6
UA,2,70,-8.9474,-6.75,2.7143,30.5
UA,5,4104,-8.0902,-5.5611,-1.9926,5.1603
UA,6,14944,-8.0947,-5.4258,-1.8978,6.8059
UA,7,21845,-7.5455,-4.8958,-1.5293,9.3154
UA,8,20539,-7.0671,-4.322,-0.5711,14.2368
UA,9,16440,-6.2938,-3.1112,2.6485,24.1944
UA,10,14580,-6.4475,-3.26,2.7335,27.4943
UA,11,14449,-5.8916,-2.4931,5.1136,30.794
UA,12,14629,-6.3133,-2.9681,3.839,30.7941
UA,13,15603,-6.1738,-2.6328,5.7971,35.7636
UA,14,14644,-6.291,-2.4905,7.3696,47.4959
UA,15,10738,-6.1012,-2.0314,8.9498,46.9771
UA,16,15738,-6.0324,-2.0323,8.8596,50.5564
UA,17,16347,-5.5381,-1.4745,10.0017,48.8502
UA,18,16284,-5.7146,-1.5129,11.4727,53.9182
UA,19,14282,-5.701,-0.7202,13.9363,54.6547
UA,20,9965,-5.2643,0.0284,17.9656,60.5211
UA,21,5215,-6.5223,-2.2026,11.8299,47.6872
UA,22,3741,-6.6238,-2.8845,5.0644,26.1551
UA,23,4103,-7.9353,-4.0898,3.0458,23.3354
WN,5,14303,-5.26,-3.1942,-0.6569,3.9925
WN,6,32445,-5.4685,-3.4442,-0.8061,4.5007
WN,7,26101,-5.3863,-3.1782,-0.2469,7.5975
WN,8,30200,-4.8799,-2.3867,1.1096,13.1441
WN,9,26357,-4.5079,-1.6962,3.3968,17.9577
WN,10,26819,-4.4385,-1.3444,5.0854,21.3281
WN,11,27926,-4.2807,-0.8702,6.9945,26.584
WN,12,25399,-4.0975,-0.4156,9.2675,30.2929
WN,13,28181,-3.8269,0.0503,10.9646,34.8298
WN,14,26708,-3.6997,0.6194,13.193,38.5599
WN,15,26677,-3.6601,1.0704,15.6193,43.5242
WN,16,26411,-3.7513,1.0904,16.2161,45.6474
WN,17,26623,-3.6878,1.9627,18.4479,50.0571
WN,18,28394,-4.1824,0.8153,17.8235,49.6107
WN,19,24488,-4.4979,0.736,19.4765,55.3148
WN,20,23644,-4.5919,0.8415,19.6033,53.9349
WN,21,13255,-4.2972,2.5412,24.4191,62.898
WN,22,5935,-3.6863,4.3023,26.8456,63.948
WN,23,514,-4.1324,-0.7126,6.35,18.82
